동,연도,월,전체,남자,여자,아동전체,아동남자,아동여자,청소년전체,청소년남자,청소년여자,청년전체,청년남자,청년여자
월계2동,2023,10,25586.0,12276.0,13310.0,2877.0,1493.0,1384.0,3447.0,1760.0,1687.0,4432.0,2274.0,2158.0
월계2동,2023,11,25557.0,12263.0,13294.0,2860.0,1491.0,1369.0,3444.0,1763.0,1681.0,4425.0,2271.0,2154.0
월계2동,2023,12,25491.0,12232.0,13259.0,2845.0,1483.0,1362.0,3407.0,1750.0,1657.0,4400.0,2257.0,2143.0
월계2동,2024,1,25453.0,12214.0,13239.0,2825.0,1477.0,1348.0,3401.0,1740.0,1661.0,4382.0,2254.0,2128.0
월계2동,2024,2,25423.0,12184.0,13239.0,2804.0,1459.0,1345.0,3387.0,1736.0,1651.0,4385.0,2251.0,2134.0
월계2동,2024,3,25444.0,12203.0,13241.0,2797.0,1457.0,1340.0,3405.0,1745.0,1660.0,4390.0,2247.0,2143.0
월계2동,2024,4,25440.0,12204.0,13236.0,2798.0,1461.0,1337.0,3399.0,1744.0,1655.0,4371.0,2238.0,2133.0
월계2동,2024,5,25393.0,12179.0,13214.0,2775.0,1448.0,1327.0,3363.0,1726.0,1637.0,4368.0,2238.0,2130.0
월계2동,2024,6,25397.0,12173.0,13224.0,2755.0,1435.0,1320.0,3343.0,1711.0,1632.0,4357.0,2224.0,2133.0
월계2동,2024,7,25385.0,12177.0,13208.0,2759.0,1439.0,1320.0,3340.0,1715.0,1625.0,4338.0,2213.0,2125.0
월계2동,2024,8,25372.0,12158.0,13214.0,2750.0,1431.0,1319.0,3324.0,1705.0,1619.0,4314.0,2195.0,2119.0
월계2동,2024,9,25338.0,12133.0,13205.0,2742.0,1425.0,1317.0,3322.0,1694.0,1628.0,4289.0,2178.0,2111.0
월계2동,2024,10,25278.0,12112.0,13166.0,2726.0,1427.0,1299.0,3316.0,1699.0,1617.0,4291.0,2180.0,2111.0
월계2동,2024,11,25220.0,12080.0,13140.0,2713.0,1420.0,1293.0,3294.0,1682.0,1612.0,4255.0,2153.0,2102.0
월계2동,2024,12,25179.0,12053.0,13126.0,2697.0,1409.0,1288.0,3273.0,1676.0,1597.0,4236.0,2141.0,2095.0
월계2동,2025,1,25145.0,12036.0,13109.0,2673.0,1398.0,1275.0,3260.0,1670.0,1590.0,4212.0,2128.0,2084.0
월계2동,2025,2,25101.0,12010.0,13091.0,2647.0,1385.0,1262.0,3266.0,1669.0,1597.0,4202.0,2123.0,2079.0
월계2동,2025,3,25091.0,11994.0,13097.0,2640.0,1384.0,1256.0,3269.0,1663.0,1606.0,4176.0,2101.0,2075.0
