동,법정동,복지시설수_법정동합계,동수,복지시설수_추정
월계1동,월계동,2,3,0.7
월계2동,월계동,2,3,0.7
월계3동,월계동,2,3,0.7
공릉1동,공릉동,5,2,2.5
공릉2동,공릉동,5,2,2.5
하계1동,하계동,8,2,4.0
하계2동,하계동,8,2,4.0
중계본동,중계동,4,4,1.0
중계1동,중계동,4,4,1.0
중계4동,중계동,4,4,1.0
중계2.3동,중계동,4,4,1.0
상계1동,상계동,40,8,5.0
상계2동,상계동,40,8,5.0
상계3.4동,상계동,40,8,5.0
상계5동,상계동,40,8,5.0
상계6.7동,상계동,40,8,5.0
상계8동,상계동,40,8,5.0
상계9동,상계동,40,8,5.0
상계10동,상계동,40,8,5.0
